time of measurement;weekday;pedestrians count;temperature in Âºc;weather condition;events;hour;day;month;weekday_code;incident_occurred;pedestrians count_scaled;temperature in Âºc_scaled;hour_scaled;day_scaled;month_scaled;weekday_code_scaled
2024-06-13 16:00:00+02:00;Thursday;1883;;;;16;13;6;3;0;0.37096497699625103;;0.6222499421496182;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-13 17:00:00+02:00;Thursday;2036;;;;17;13;6;3;0;0.4657593211529335;;0.7646243591774706;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-13 18:00:00+02:00;Thursday;1434;;;;18;13;6;3;0;0.0927776532946142;;0.9069987762053231;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-13 19:00:00+02:00;Thursday;671;;;;19;13;6;3;0;-0.3799549257351161;;1.0493731932331756;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-13 20:00:00+02:00;Thursday;333;;;;20;13;6;3;0;-0.589369882107395;;1.191747610261028;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-13 21:00:00+02:00;Thursday;233;;;;21;13;6;3;0;-0.6513269697915012;;1.3341220272888805;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-13 22:00:00+02:00;Thursday;188;;;;22;13;6;3;0;-0.679207659249349;;1.4764964443167328;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-13 23:00:00+02:00;Thursday;55;;;;23;13;6;3;0;-0.7616105858692103;;1.6188708613445852;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-14 00:00:00+02:00;Friday;67;;;;0;14;6;4;0;-0.7541757353471175;;-1.655740730296021;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 01:00:00+02:00;Friday;35;;;;1;14;6;4;0;-0.7740020034060314;;-1.5133663132681685;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 02:00:00+02:00;Friday;25;;;;2;14;6;4;0;-0.7801977121744421;;-1.3709918962403163;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 03:00:00+02:00;Friday;15;;;;3;14;6;4;0;-0.7863934209428527;;-1.2286174792124638;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 04:00:00+02:00;Friday;16;;;;4;14;6;4;0;-0.7857738500660116;;-1.0862430621846113;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 05:00:00+02:00;Friday;47;;;;5;14;6;4;0;-0.7665671528839387;;-0.9438686451567588;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 06:00:00+02:00;Friday;82;;;;6;14;6;4;0;-0.7448821721945016;;-0.8014942281289064;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 07:00:00+02:00;Friday;226;;;;7;14;6;4;0;-0.6556639659293887;;-0.6591198111010539;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 08:00:00+02:00;Friday;458;;;;8;14;6;4;0;-0.5119235225022623;;-0.5167453940732014;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 09:00:00+02:00;Friday;893;;;;9;14;6;4;0;-0.24241019107640033;;-0.374370977045349;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 10:00:00+02:00;Friday;1745;;;;10;14;6;4;0;0.2854641959921845;;-0.23199656001749655;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 11:00:00+02:00;Friday;2231;;;;11;14;6;4;0;0.5865756421369406;;-0.08962214298964409;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 12:00:00+02:00;Friday;2681;;;;12;14;6;4;0;0.8653825367154184;;0.052752274038208355;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 13:00:00+02:00;Friday;2321;;;;13;14;6;4;0;0.6423370210526361;;0.19512669106606081;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 14:00:00+02:00;Friday;2380;;;;14;14;6;4;0;0.6788917027862588;;0.33750110809391326;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 15:00:00+02:00;Friday;2560;;;;15;14;6;4;0;0.79041446061765;;0.47987552512176573;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 16:00:00+02:00;Friday;2502;;;;16;14;6;4;0;0.7544793497608684;;0.6222499421496182;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 17:00:00+02:00;Friday;2258;;;;17;14;6;4;0;0.6033040558116493;;0.7646243591774706;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 18:00:00+02:00;Friday;1920;;;;18;14;6;4;0;0.3938890994393703;;0.9069987762053231;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 19:00:00+02:00;Friday;1028;;;;19;14;6;4;0;-0.15876812270285695;;1.0493731932331756;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 20:00:00+02:00;Friday;479;;;;20;14;6;4;0;-0.4989125340886;;1.191747610261028;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 21:00:00+02:00;Friday;336;;;;21;14;6;4;0;-0.5875111694768719;;1.3341220272888805;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 22:00:00+02:00;Friday;260;;;;22;14;6;4;0;-0.6345985561167925;;1.4764964443167328;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 23:00:00+02:00;Friday;243;;;;23;14;6;4;0;-0.6451312610230906;;1.6188708613445852;-1.4473163331093948;0.0;0.23601819178217565
2024-06-15 00:00:00+02:00;Saturday;133;;;;0;15;6;5;0;-0.7132840574756074;;-1.655740730296021;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 01:00:00+02:00;Saturday;82;;;;1;15;6;5;0;-0.7448821721945016;;-1.5133663132681685;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 02:00:00+02:00;Saturday;65;;;;2;15;6;5;0;-0.7554148771007996;;-1.3709918962403163;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 03:00:00+02:00;Saturday;74;;;;3;15;6;5;0;-0.74983873920923;;-1.2286174792124638;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 04:00:00+02:00;Saturday;21;;;;4;15;6;5;0;-0.7826759956818063;;-1.0862430621846113;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 05:00:00+02:00;Saturday;30;;;;5;15;6;5;0;-0.7770998577902368;;-0.9438686451567588;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 06:00:00+02:00;Saturday;38;;;;6;15;6;5;0;-0.7721432907755083;;-0.8014942281289064;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 07:00:00+02:00;Saturday;54;;;;7;15;6;5;0;-0.7622301567460513;;-0.6591198111010539;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 08:00:00+02:00;Saturday;179;;;;8;15;6;5;0;-0.6847837971409185;;-0.5167453940732014;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 09:00:00+02:00;Saturday;439;;;;9;15;6;5;0;-0.5236953691622425;;-0.374370977045349;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 10:00:00+02:00;Saturday;1005;;;;10;15;6;5;0;-0.17301825287020137;;-0.23199656001749655;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 11:00:00+02:00;Saturday;1252;;;;11;15;6;5;0;-0.019984246290459078;;-0.08962214298964409;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 12:00:00+02:00;Saturday;1449;;;;12;15;6;5;0;0.10207121644723012;;0.052752274038208355;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 13:00:00+02:00;Saturday;2437;;;;13;15;6;5;0;0.7142072427661993;;0.19512669106606081;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 14:00:00+02:00;Saturday;2465;;;;14;15;6;5;0;0.731555227317749;;0.33750110809391326;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 15:00:00+02:00;Saturday;2706;;;;15;15;6;5;0;0.880871808636445;;0.47987552512176573;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 16:00:00+02:00;Saturday;2720;;;;16;15;6;5;0;0.8895458009122199;;0.6222499421496182;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 17:00:00+02:00;Saturday;2348;;;;17;15;6;5;0;0.6590654347273448;;0.7646243591774706;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 18:00:00+02:00;Saturday;1639;;;;18;15;6;5;0;0.2197896830470319;;0.9069987762053231;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 19:00:00+02:00;Saturday;837;;;;19;15;6;5;0;-0.2771061601794998;;1.0493731932331756;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 20:00:00+02:00;Saturday;451;;;;20;15;6;5;0;-0.5162605186401497;;1.191747610261028;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 21:00:00+02:00;Saturday;337;;;;21;15;6;5;0;-0.5868915986000308;;1.3341220272888805;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 22:00:00+02:00;Saturday;297;;;;22;15;6;5;0;-0.6116744336736732;;1.4764964443167328;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 23:00:00+02:00;Saturday;211;;;;23;15;6;5;0;-0.6649575290820046;;1.6188708613445852;-1.117664427836747;0.0;0.7467127274487798
2024-06-16 00:00:00+02:00;Sunday;173;;;;0;16;6;6;0;-0.6885012224019649;;-1.655740730296021;-0.788012522564099;0.0;1.257407263115384
2024-06-16 01:00:00+02:00;Sunday;124;;;;1;16;6;6;0;-0.7188601953671769;;-1.5133663132681685;-0.788012522564099;0.0;1.257407263115384
2024-06-16 02:00:00+02:00;Sunday;60;;;;2;16;6;6;0;-0.758512731485005;;-1.3709918962403163;-0.788012522564099;0.0;1.257407263115384
2024-06-16 03:00:00+02:00;Sunday;62;;;;3;16;6;6;0;-0.7572735897313227;;-1.2286174792124638;-0.788012522564099;0.0;1.257407263115384
2024-06-16 04:00:00+02:00;Sunday;39;;;;4;16;6;6;0;-0.7715237198986672;;-1.0862430621846113;-0.788012522564099;0.0;1.257407263115384
2024-06-16 05:00:00+02:00;Sunday;24;;;;5;16;6;6;0;-0.7808172830512832;;-0.9438686451567588;-0.788012522564099;0.0;1.257407263115384
2024-06-16 06:00:00+02:00;Sunday;29;;;;6;16;6;6;0;-0.7777194286670779;;-0.8014942281289064;-0.788012522564099;0.0;1.257407263115384
2024-06-16 07:00:00+02:00;Sunday;32;;;;7;16;6;6;0;-0.7758607160365547;;-0.6591198111010539;-0.788012522564099;0.0;1.257407263115384
2024-06-16 08:00:00+02:00;Sunday;97;;;;8;16;6;6;0;-0.7355886090418856;;-0.5167453940732014;-0.788012522564099;0.0;1.257407263115384
2024-06-16 09:00:00+02:00;Sunday;216;;;;9;16;6;6;0;-0.6618596746977993;;-0.374370977045349;-0.788012522564099;0.0;1.257407263115384
2024-06-16 10:00:00+02:00;Sunday;397;;;;10;16;6;6;0;-0.549717345989567;;-0.23199656001749655;-0.788012522564099;0.0;1.257407263115384
2024-06-16 11:00:00+02:00;Sunday;814;;;;11;16;6;6;0;-0.29135629034684424;;-0.08962214298964409;-0.788012522564099;0.0;1.257407263115384
2024-06-16 12:00:00+02:00;Sunday;650;;;;12;16;6;6;0;-0.39296591414877835;;0.052752274038208355;-0.788012522564099;0.0;1.257407263115384
2024-06-16 13:00:00+02:00;Sunday;598;;;;13;16;6;6;0;-0.4251835997445136;;0.19512669106606081;-0.788012522564099;0.0;1.257407263115384
2024-06-16 14:00:00+02:00;Sunday;660;;;;14;16;6;6;0;-0.38677020538036777;;0.33750110809391326;-0.788012522564099;0.0;1.257407263115384
2024-06-16 15:00:00+02:00;Sunday;605;;;;15;16;6;6;0;-0.4208466036066262;;0.47987552512176573;-0.788012522564099;0.0;1.257407263115384
2024-06-16 16:00:00+02:00;Sunday;610;;;;16;16;6;6;0;-0.41774874922242083;;0.6222499421496182;-0.788012522564099;0.0;1.257407263115384
2024-06-16 17:00:00+02:00;Sunday;648;;;;17;16;6;6;0;-0.3942050559024605;;0.7646243591774706;-0.788012522564099;0.0;1.257407263115384
2024-06-16 18:00:00+02:00;Sunday;314;;;;18;16;6;6;0;-0.6011417287673751;;0.9069987762053231;-0.788012522564099;0.0;1.257407263115384
2024-06-16 19:00:00+02:00;Sunday;233;;;;19;16;6;6;0;-0.6513269697915012;;1.0493731932331756;-0.788012522564099;0.0;1.257407263115384
2024-06-16 20:00:00+02:00;Sunday;216;;;;20;16;6;6;0;-0.6618596746977993;;1.191747610261028;-0.788012522564099;0.0;1.257407263115384
2024-06-16 21:00:00+02:00;Sunday;157;;;;21;16;6;6;0;-0.6984143564314219;;1.3341220272888805;-0.788012522564099;0.0;1.257407263115384
2024-06-16 22:00:00+02:00;Sunday;66;;;;22;16;6;6;0;-0.7547953062239585;;1.4764964443167328;-0.788012522564099;0.0;1.257407263115384
2024-06-16 23:00:00+02:00;Sunday;50;;;;23;16;6;6;0;-0.7647084402534156;;1.6188708613445852;-0.788012522564099;0.0;1.257407263115384
2024-06-17 00:00:00+02:00;Monday;22;;;;0;17;6;0;0;-0.7820564248049653;;-1.655740730296021;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 01:00:00+02:00;Monday;13;;;;1;17;6;0;0;-0.7876325626965348;;-1.5133663132681685;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 02:00:00+02:00;Monday;10;;;;2;17;6;0;0;-0.789491275327058;;-1.3709918962403163;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 03:00:00+02:00;Monday;5;;;;3;17;6;0;0;-0.7925891297112634;;-1.2286174792124638;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 04:00:00+02:00;Monday;13;;;;4;17;6;0;0;-0.7876325626965348;;-1.0862430621846113;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 05:00:00+02:00;Monday;36;;;;5;17;6;0;0;-0.7733824325291904;;-0.9438686451567588;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 06:00:00+02:00;Monday;112;;;;6;17;6;0;0;-0.7262950458892697;;-0.8014942281289064;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 07:00:00+02:00;Monday;235;;;;7;17;6;0;0;-0.6500878280378191;;-0.6591198111010539;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 08:00:00+02:00;Monday;455;;;;8;17;6;0;0;-0.5137822351327854;;-0.5167453940732014;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 09:00:00+02:00;Monday;778;;;;9;17;6;0;0;-0.31366084191312243;;-0.374370977045349;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 10:00:00+02:00;Monday;1279;;;;10;17;6;0;0;-0.0032558326157504057;;-0.23199656001749655;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 11:00:00+02:00;Monday;1590;;;;11;17;6;0;0;0.18943071008181986;;-0.08962214298964409;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 12:00:00+02:00;Monday;2569;;;;12;17;6;0;0;0.7959905985092195;;0.052752274038208355;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 13:00:00+02:00;Monday;2330;;;;13;17;6;0;0;0.6479131589442058;;0.19512669106606081;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 14:00:00+02:00;Monday;2142;;;;14;17;6;0;0;0.5314338340980861;;0.33750110809391326;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 15:00:00+02:00;Monday;2099;;;;15;17;6;0;0;0.5047922863939204;;0.47987552512176573;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 16:00:00+02:00;Monday;2083;;;;16;17;6;0;0;0.4948791523644634;;0.6222499421496182;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 17:00:00+02:00;Monday;1900;;;;17;17;6;0;0;0.38149768190254907;;0.7646243591774706;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 18:00:00+02:00;Monday;1625;;;;18;17;6;0;0;0.21111569077125703;;0.9069987762053231;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 19:00:00+02:00;Monday;810;;;;19;17;6;0;0;-0.29383457385420847;;1.0493731932331756;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 20:00:00+02:00;Monday;404;;;;20;17;6;0;0;-0.5453803498516796;;1.191747610261028;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 21:00:00+02:00;Monday;263;;;;21;17;6;0;0;-0.6327398434862693;;1.3341220272888805;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 22:00:00+02:00;Monday;131;;;;22;17;6;0;0;-0.7145231992292895;;1.4764964443167328;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-17 23:00:00+02:00;Monday;96;;;;23;17;6;0;0;-0.7362081799187267;;1.6188708613445852;-0.4583606172914511;0.0;-1.8067599508842411
2024-06-18 00:00:00+02:00;Tuesday;25;;;;0;18;6;1;0;-0.7801977121744421;;-1.655740730296021;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 01:00:00+02:00;Tuesday;17;;;;1;18;6;1;0;-0.7851542791891706;;-1.5133663132681685;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 02:00:00+02:00;Tuesday;19;;;;2;18;6;1;0;-0.7839151374354885;;-1.3709918962403163;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 03:00:00+02:00;Tuesday;10;;;;3;18;6;1;0;-0.789491275327058;;-1.2286174792124638;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 04:00:00+02:00;Tuesday;7;;;;4;18;6;1;0;-0.7913499879575812;;-1.0862430621846113;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 05:00:00+02:00;Tuesday;28;;;;5;18;6;1;0;-0.7783389995439189;;-0.9438686451567588;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 06:00:00+02:00;Tuesday;113;;;;6;18;6;1;0;-0.7256754750124287;;-0.8014942281289064;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 07:00:00+02:00;Tuesday;237;;;;7;18;6;1;0;-0.6488486862841369;;-0.6591198111010539;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 08:00:00+02:00;Tuesday;495;;;;8;18;6;1;0;-0.488999400059143;;-0.5167453940732014;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 09:00:00+02:00;Tuesday;816;;;;9;18;6;1;0;-0.29011714859316207;;-0.374370977045349;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 10:00:00+02:00;Tuesday;1208;;;;10;18;6;1;0;-0.04724536487146581;;-0.23199656001749655;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 11:00:00+02:00;Tuesday;2020;;;;11;18;6;1;0;0.4558461871234765;;-0.08962214298964409;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 12:00:00+02:00;Tuesday;2570;;;;12;18;6;1;0;0.7966101693860606;;0.052752274038208355;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 13:00:00+02:00;Tuesday;2276;;;;13;18;6;1;0;0.6144563315947884;;0.19512669106606081;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 14:00:00+02:00;Tuesday;2032;;;;14;18;6;1;0;0.4632810376455692;;0.33750110809391326;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 15:00:00+02:00;Tuesday;2132;;;;15;18;6;1;0;0.5252381253296754;;0.47987552512176573;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 16:00:00+02:00;Tuesday;2367;;;;16;18;6;1;0;0.670837281387325;;0.6222499421496182;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 17:00:00+02:00;Tuesday;2143;;;;17;18;6;1;0;0.5320534049749271;;0.7646243591774706;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 18:00:00+02:00;Tuesday;1489;;;;18;18;6;1;0;0.1268540515208726;;0.9069987762053231;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 19:00:00+02:00;Tuesday;700;;;;19;18;6;1;0;-0.3619873703067253;;1.0493731932331756;-0.12870871201880324;0.0;-1.296065415217637
